CountryCode,Throughput,Count
AD,0.0,605
AD,10.0,311
AD,20.0,98
AD,30.0,36
AD,40.0,15
AD,50.0,1
AD,60.0,2
AD,80.0,1
AD,90.0,1
AE,0.0,106155
AE,10.0,28354
AE,20.0,1581
AE,30.0,284
AE,40.0,61
AE,50.0,5
AE,60.0,4
AE,70.0,1
AE,80.0,2
AE,90.0,1
AE,100.0,1
AE,110.0,1
AE,120.0,1
AF,0.0,3376
AF,10.0,44
AF,20.0,2
AG,0.0,1655
AG,10.0,154
AG,20.0,16
AG,30.0,3
AG,60.0,1
AI,0.0,487
AI,10.0,30
AI,20.0,4
AI,30.0,1
AL,0.0,22524
AL,10.0,6947
AL,20.0,703
AL,30.0,139
AL,40.0,64
AL,50.0,32
AL,60.0,15
AL,70.0,10
AL,80.0,4
AL,90.0,2
AL,160.0,1
AM,0.0,17938
AM,10.0,3775
AM,20.0,469
AM,30.0,127
AM,40.0,27
AM,50.0,9
AM,60.0,11
AM,70.0,9
AM,90.0,2
AO,0.0,3581
AO,10.0,112
AO,20.0,9
AP,0.0,86
AP,10.0,24
AP,20.0,4
AR,0.0,142775
AR,10.0,7904
AR,20.0,342
AR,30.0,44
AR,40.0,15
AR,70.0,1
AS,0.0,228
AS,10.0,7
AT,0.0,44369
AT,10.0,54681
AT,20.0,21324
AT,30.0,10507
AT,40.0,7024
AT,50.0,4463
AT,60.0,3158
AT,70.0,3966
AT,80.0,1039
AT,90.0,759
AT,100.0,522
AT,110.0,359
AT,120.0,356
AT,130.0,226
AT,140.0,231
AT,150.0,47
AT,160.0,25
AT,170.0,23
AT,180.0,11
AT,190.0,8
AT,200.0,10
AT,210.0,14
AT,220.0,13
AT,230.0,13
AT,240.0,7
AT,250.0,1
AT,260.0,1
AT,270.0,1
AT,320.0,1
AT,330.0,2
AT,350.0,1
AT,390.0,1
AT,480.0,2
AT,510.0,2
AT,540.0,1
AT,560.0,1
AT,600.0,2
AT,630.0,1
AT,640.0,1
AT,650.0,1
AT,680.0,1
AT,780.0,1
AT,870.0,1
AU,0.0,339921
AU,10.0,158881
AU,20.0,34685
AU,30.0,15062
AU,40.0,5867
AU,50.0,3961
AU,60.0,3636
AU,70.0,3378
AU,80.0,2045
AU,90.0,1009
AU,100.0,262
AU,110.0,62
AU,120.0,38
AU,130.0,35
AU,140.0,36
AU,150.0,28
AU,160.0,18
AU,170.0,26
AU,180.0,23
AU,190.0,21
AU,200.0,8
AU,210.0,11
AU,220.0,7
AU,230.0,9
AU,240.0,10
AU,250.0,7
AU,260.0,11
AU,270.0,8
AU,280.0,3
AU,290.0,12
AU,300.0,15
AU,310.0,14
AU,320.0,20
AU,330.0,17
AU,340.0,22
AU,350.0,16
AU,360.0,13
AU,370.0,7
AU,380.0,5
AU,390.0,14
AU,400.0,8
AU,410.0,15
AU,420.0,12
AU,430.0,19
AU,440.0,17
AU,450.0,10
AU,460.0,5
AU,490.0,1
AU,530.0,1
AU,540.0,2
AU,550.0,2
AU,560.0,1
AU,600.0,1
AU,610.0,3
AU,630.0,1
AU,640.0,4
AU,650.0,2
