CountryCode,Throughput,Count
AD,0.0,729
AD,10.0,493
AD,20.0,123
AD,30.0,32
AD,40.0,16
AD,50.0,10
AD,60.0,3
AD,70.0,10
AE,0.0,181431
AE,10.0,5246
AE,20.0,220
AE,30.0,49
AE,40.0,8
AE,50.0,4
AE,60.0,3
AE,80.0,1
AE,120.0,2
AE,150.0,1
AF,0.0,4957
AF,10.0,31
AF,20.0,2
AF,30.0,1
AF,40.0,2
AF,50.0,1
AG,0.0,2685
AG,10.0,34
AG,20.0,2
AI,0.0,708
AI,10.0,2
AL,0.0,39323
AL,10.0,1487
AL,20.0,219
AL,30.0,67
AL,40.0,14
AL,50.0,6
AL,60.0,3
AL,70.0,3
AL,80.0,1
AM,0.0,29288
AM,10.0,3466
AM,20.0,176
AM,30.0,15
AM,40.0,6
AM,50.0,1
AM,80.0,1
AM,100.0,1
AO,0.0,5898
AO,10.0,66
AO,20.0,5
AO,30.0,1
AP,0.0,105
AP,10.0,30
AP,20.0,4
AR,0.0,241136
AR,10.0,208
AR,20.0,9
AR,30.0,4
AR,60.0,2
AR,70.0,1
AS,0.0,442
AT,0.0,133062
AT,10.0,37729
AT,20.0,8016
AT,30.0,5325
AT,40.0,1284
AT,50.0,140
AT,60.0,212
AT,70.0,145
AT,80.0,60
AT,90.0,6
AT,110.0,1
AT,120.0,2
AT,130.0,2
AT,140.0,3
AT,150.0,4
AT,160.0,1
AT,170.0,1
AT,180.0,2
AT,200.0,2
AT,210.0,2
AT,220.0,4
AT,230.0,2
AT,240.0,2
AT,250.0,1
AT,270.0,1
AT,290.0,3
AT,300.0,2
AT,320.0,1
AT,350.0,1
AT,360.0,1
AT,370.0,1
AT,380.0,1
AT,400.0,2
AT,420.0,2
AT,430.0,2
AT,440.0,1
AT,450.0,1
AT,460.0,1
AT,470.0,1
AT,490.0,1
AT,560.0,1
AT,720.0,1
AT,740.0,1
AT,760.0,1
AU,0.0,675451
AU,10.0,27186
AU,20.0,15124
AU,30.0,2238
AU,40.0,352
AU,50.0,319
AU,60.0,210
AU,70.0,144
