129.0.0.0 129.0.255.255 CM  
129.1.0.0 129.10.255.255 US  
129.11.0.0 129.12.255.255 GB  
129.13.0.0 129.13.255.255 DE  
129.14.0.0 129.15.255.255 US  
129.16.0.0 129.16.255.255 SE  
129.17.0.0 129.17.255.255 US  
129.18.0.0 129.18.255.255 NG  
129.19.0.0 129.19.255.255 US  
129.20.0.0 129.20.255.255 FR  
129.21.0.0 129.25.255.255 US  
129.26.0.0 129.26.255.255 DE  
129.27.0.0 129.27.255.255 AT  
129.28.0.0 129.30.255.255 US  
129.31.0.0 129.31.255.255 GB  
129.32.0.0 129.35.63.255 US  
129.35.64.0 129.35.79.255 GB  
129.35.80.0 129.35.156.3 US  
129.35.156.4 129.35.156.4 DE  
129.35.156.5 129.44.255.255 US  
129.45.0.0 129.45.127.255 DZ  
129.45.128.0 129.45.255.255 BF  
129.46.0.0 129.55.255.255 US  
129.56.0.0 129.56.255.255 NG  
129.57.0.0 129.59.255.255 US  
129.60.0.0 129.60.255.255 JP  
129.61.0.0 129.66.255.255 US  
129.67.0.0 129.67.255.255 GB  
129.68.0.0 129.68.255.255 US  
129.69.0.0 129.70.255.255 DE  
129.71.0.0 129.75.233.255 US  
129.75.234.0 129.75.234.63 NL  
129.75.234.64 129.77.255.255 US  
129.78.0.0 129.78.255.255 AU  
129.79.0.0 129.87.255.255 US  
129.88.0.0 129.88.255.255 FR  
129.89.0.0 129.89.255.255 US  
129.90.0.0 129.90.255.255 VE  
129.91.0.0 129.93.255.255 US  
129.94.0.0 129.94.255.255 AU  
129.95.0.0 129.95.255.255 US  
129.96.0.0 129.96.255.255 AU  
129.97.0.0 129.97.255.255 CA  
129.98.0.0 129.99.255.255 US  
129.100.0.0 129.100.255.255 CA  
129.101.0.0 129.101.255.255 US  
129.102.0.0 129.102.255.255 FR  
129.103.0.0 129.103.255.255 DE  
129.104.0.0 129.104.255.255 FR  
129.105.0.0 129.121.255.255 US  
129.122.0.0 129.122.63.255 GH  
129.122.64.0 129.122.127.255 RE  
129.122.128.0 129.122.255.255 AO  
129.123.0.0 129.124.255.255 US  
129.125.0.0 129.125.255.255 NL  
129.126.0.0 129.126.255.255 US  
129.127.0.0 129.127.255.255 AU  
129.128.0.0 129.128.255.255 CA  
129.129.0.0 129.129.255.255 CH  
129.130.0.0 129.131.255.255 US  
129.132.0.0 129.132.255.255 CH  
129.133.0.0 129.135.255.255 US  
129.136.0.0 129.136.255.255 JP  
129.137.0.0 129.139.255.255 US  
129.140.0.0 129.140.255.255 MW  
129.141.0.0 129.141.255.255 US  
129.142.0.0 129.142.255.255 DK  
129.143.0.0 129.143.255.255 DE  
129.144.0.0 129.168.255.255 US  
129.169.0.0 129.169.255.255 GB  
129.170.0.0 129.172.255.255 US  
129.173.0.0 129.173.255.255 CA  
129.174.0.0 129.174.255.255 US  
129.175.0.0 129.175.255.255 FR  
129.176.0.0 129.176.255.255 US  
129.177.0.0 129.177.255.255 NO  
129.178.0.0 129.178.255.255 SE  
129.179.0.0 129.179.255.255 US  
129.180.0.0 129.180.255.255 AU  
129.181.0.0 129.185.159.255 FR  
129.185.160.0 129.185.191.255 DE  
129.185.192.0 129.185.255.255 FR  
129.186.0.0 129.186.255.255 US  
129.187.0.0 129.187.255.255 DE  
129.188.0.0 129.192.96.255 US  
129.192.97.0 129.192.97.255 IT  
129.192.98.0 129.192.195.255 US  
129.192.197.0 129.192.207.255 US  
129.192.208.0 129.192.208.255 AU  
129.192.209.0 129.193.255.255 US  
129.194.0.0 129.195.255.255 CH  
129.196.0.0 129.198.255.255 US  
129.199.0.0 129.199.255.255 FR  
129.200.0.0 129.204.255.255 US  
129.205.0.0 129.205.31.255 UG  
129.205.32.0 129.205.95.255 ZA  
129.205.96.0 129.205.127.255 NG  
129.205.128.0 129.205.191.255 ZA  
129.205.192.0 129.205.255.255 BW  
129.206.0.0 129.206.255.255 DE  
129.207.0.0 129.207.255.255 US  
129.208.0.0 129.208.255.255 SA  
129.209.0.0 129.214.255.255 US  
129.215.0.0 129.215.255.255 GB  
129.216.0.0 129.216.255.255 US  
129.217.0.0 129.217.255.255 DE  
129.218.0.0 129.231.255.255 US  
129.232.0.0 129.232.127.255 LS  
129.232.128.0 129.232.255.255 ZA  
129.233.0.0 129.233.255.255 DE  
129.234.0.0 129.234.255.255 GB  
129.235.0.0 129.239.255.255 US  
129.240.0.0 129.242.255.255 NO  
129.243.0.0 129.246.255.255 US  
129.247.0.0 129.247.255.255 DE  
129.248.0.0 129.248.255.255 US  
129.249.0.0 129.249.255.255 JP  
129.250.0.0 129.250.2.41 US  
129.250.2.42 129.250.2.42 ES  
129.250.2.43 129.250.3.137 US  
129.250.3.138 129.250.3.138 DE  
129.250.3.139 129.250.4.103 US  
129.250.4.104 129.250.4.104 ES  
129.250.4.105 129.250.4.136 US  
129.250.4.137 129.250.4.137 GB  
129.250.4.138 129.250.6.216 US  
129.250.6.217 129.250.6.217 DE  
129.250.6.218 129.250.8.40 US  
129.250.8.41 129.250.8.41 ES  
129.250.8.42 129.250.16.45 US  
129.250.16.46 129.250.16.46 ES  
129.250.16.47 129.253.255.255 US  
129.254.0.0 129.254.255.255 KR  
129.255.0.0 129.255.255.255 US  
