155.0.0.0 155.0.255.255 ZM  
155.1.0.0 155.2.255.255 US  
155.3.0.0 155.3.255.255 CA  
155.4.0.0 155.4.192.107 SE  
155.4.192.108 155.4.192.108 NO  
155.4.192.109 155.4.255.255 SE  
155.5.0.0 155.9.255.255 US  
155.10.0.0 155.10.255.255 CA  
155.11.0.0 155.11.255.255 EG  
155.13.0.0 155.14.255.255 US  
155.15.0.0 155.15.255.255 CA  
155.16.0.0 155.31.255.255 US  
155.32.0.0 155.32.255.255 NZ  
155.33.0.0 155.35.0.255 US  
155.35.1.0 155.35.1.255 IN  
155.35.2.0 155.35.33.255 US  
155.35.34.0 155.35.35.255 IN  
155.35.36.0 155.35.45.255 US  
155.35.46.0 155.35.47.255 IN  
155.35.48.0 155.35.231.255 US  
155.35.232.0 155.35.232.255 IN  
155.35.233.0 155.35.247.255 US  
155.35.248.0 155.35.248.255 AU  
155.35.249.0 155.44.255.255 US  
155.45.0.0 155.45.255.255 DE  
155.46.0.0 155.53.255.255 US  
155.54.0.0 155.54.255.255 ES  
155.55.0.0 155.55.255.255 NO  
155.56.0.0 155.56.255.255 DE  
155.57.0.0 155.57.154.255 US  
155.57.156.0 155.57.159.255 US  
155.57.161.0 155.58.255.255 US  
155.59.0.0 155.59.255.255 NZ  
155.60.0.0 155.60.255.255 AU  
155.61.0.0 155.63.199.255 US  
155.63.200.0 155.63.201.255 NZ  
155.63.202.0 155.63.205.255 US  
155.63.206.0 155.63.206.255 CA  
155.63.207.0 155.65.255.255 US  
155.66.0.0 155.66.255.255 CH  
155.67.0.0 155.68.255.255 US  
155.69.0.0 155.69.255.255 SG  
155.70.0.0 155.70.255.255 US  
155.71.0.0 155.71.255.255 AU  
155.72.0.0 155.72.255.255 US  
155.73.0.0 155.73.255.255 AT  
155.74.0.0 155.88.255.255 US  
155.89.0.0 155.89.255.255 AO  
155.90.0.0 155.91.64.9 US  
155.91.64.12 155.91.135.255 US  
155.91.137.0 155.92.255.255 US  
155.93.0.0 155.93.127.255 NG  
155.93.128.0 155.93.255.255 ZA  
155.94.0.0 155.94.69.255 US  
155.94.71.0 155.104.255.255 US  
155.105.0.0 155.105.255.255 CH  
155.106.0.0 155.126.7.255 US  
155.126.9.0 155.130.255.255 US  
155.131.0.0 155.131.255.255 GB  
155.132.0.0 155.132.255.255 FR  
155.133.0.0 155.133.193.255 PL  
155.133.194.0 155.133.194.255 PT  
155.133.195.0 155.133.199.255 PL  
155.133.200.0 155.133.223.255 DE  
