197.0.0.0 197.31.255.255 TN  
197.32.0.0 197.63.255.255 EG  
197.64.0.0 197.111.255.255 ZA  
197.112.0.0 197.119.255.255 DZ  
197.120.0.0 197.127.255.255 EG  
197.128.0.0 197.131.255.255 MA  
197.132.0.0 197.135.255.255 EG  
197.136.0.0 197.139.255.255 KE  
197.140.0.0 197.143.255.255 DZ  
197.144.0.0 197.147.19.255 MA  
197.147.20.0 197.147.23.255 US  
197.147.24.0 197.147.255.255 MA  
197.148.0.0 197.148.63.255 AO  
197.148.64.0 197.148.71.255 ZA  
197.148.72.0 197.148.79.255 GM  
197.148.80.0 197.148.87.255 NG  
197.148.88.0 197.148.95.255 AO  
197.148.96.0 197.148.127.255 TG  
197.148.128.0 197.148.191.255 MG  
197.148.192.0 197.148.223.255 CI  
197.148.224.0 197.148.255.255 GH  
197.149.0.0 197.149.63.255 MG  
197.149.64.0 197.149.127.255 NG  
197.149.128.0 197.149.131.255 TD  
197.149.132.0 197.149.135.255 NG  
197.149.136.0 197.149.139.255 CG  
197.149.140.0 197.149.143.255 BI  
197.149.144.0 197.149.147.255 ZA  
197.149.148.0 197.149.151.255 AO  
197.149.152.0 197.149.155.255 MW  
197.149.156.0 197.149.159.255 MZ  
197.149.160.0 197.149.163.255 ZA  
197.149.164.0 197.149.167.255 NG  
197.149.168.0 197.149.171.255 GQ  
197.149.172.0 197.149.175.255 ZA  
197.149.180.0 197.149.183.255 ZA  
197.149.184.0 197.149.187.255 CD  
197.149.188.0 197.149.191.255 NG  
197.149.192.0 197.149.255.255 GN  
197.150.0.0 197.151.255.255 EG  
197.152.174.0 197.152.174.255 TZ  
197.153.0.0 197.153.255.255 MA  
197.154.0.0 197.154.255.255 ET  
197.155.0.0 197.155.63.255 ZA  
197.155.64.0 197.155.64.255 KE  
197.155.65.0 197.155.69.255 MU  
197.155.70.0 197.155.70.255 KE  
197.155.71.0 197.155.71.255 MU  
197.155.72.0 197.155.72.255 KE  
197.155.73.0 197.155.73.93 MU  
197.155.73.94 197.155.73.94 KE  
197.155.73.95 197.155.76.255 MU  
197.155.77.0 197.155.77.255 KE  
197.155.78.0 197.155.83.255 MU  
197.155.84.0 197.155.91.255 KE  
197.155.92.0 197.155.95.255 MU  
197.155.96.0 197.155.127.255 ZA  
197.155.128.0 197.155.191.255 ML  
197.155.192.0 197.155.207.255 LS  
197.155.208.0 197.155.223.255 ZA  
197.155.224.0 197.155.239.255 ZW  
197.155.240.0 197.155.247.255 GH  
197.155.248.0 197.156.63.255 ZA  
197.156.64.0 197.156.127.255 ET  
197.156.128.0 197.156.191.255 KE  
197.156.192.0 197.156.255.255 NG  
197.157.0.0 197.157.63.255 UG  
197.157.64.0 197.157.95.255 ZA  
