2.0.0.0 2.0.0.0 ZA  
2.0.0.1 2.15.255.255 FR  
2.16.6.0 2.16.7.255 DE  
2.16.36.0 2.16.37.255 IL  
2.16.68.0 2.16.69.255 SE  
2.16.70.0 2.16.71.255 IT  
2.16.74.0 2.16.75.255 NL  
2.16.132.0 2.16.133.255 DE  
2.16.170.0 2.16.173.255 DE  
2.16.178.0 2.16.179.255 GR  
2.16.220.0 2.16.223.255 GR  
2.16.240.0 2.16.255.255 DE  
2.17.20.0 2.17.23.255 DE  
2.17.252.0 2.17.255.255 DE  
2.18.80.0 2.18.95.255 GR  
2.18.242.0 2.18.243.255 NL  
2.19.16.0 2.19.31.255 IT  
2.19.240.0 2.19.255.255 DE  
2.20.4.0 2.20.7.255 IT  
2.20.60.0 2.20.63.255 DE  
2.20.179.0 2.20.179.255 ES  
2.20.180.0 2.20.181.255 DE  
2.20.182.0 2.20.182.255 AT  
2.20.183.0 2.20.183.255 GB  
2.20.184.0 2.20.184.255 DE  
2.20.185.0 2.20.185.255 ES  
2.20.186.0 2.20.187.255 DE  
2.20.247.0 2.20.247.255 DE  
2.21.0.0 2.21.31.255 DE  
2.21.32.0 2.21.63.255 FR  
2.21.88.0 2.21.93.255 AT  
2.21.94.0 2.21.95.255 NL  
2.21.96.0 2.21.111.255 AT  
2.21.112.0 2.21.127.255 NL  
2.21.240.0 2.21.243.255 NL  
2.21.244.0 2.21.245.255 FR  
2.21.246.0 2.21.246.255 AT  
2.21.247.0 2.21.247.255 DE  
2.21.248.0 2.21.253.255 FR  
2.21.255.0 2.21.255.255 NL  
2.22.12.0 2.22.19.255 GB  
2.22.20.0 2.22.23.255 FR  
2.22.48.0 2.22.49.255 FR  
2.22.55.0 2.22.55.255 BE  
2.22.56.0 2.22.59.255 FR  
2.22.60.0 2.22.60.255 SE  
2.22.96.0 2.22.159.255 GB  
2.22.160.0 2.22.226.255 FR  
2.22.227.0 2.22.227.255 GB  
2.22.230.0 2.22.230.255 ES  
2.22.233.0 2.22.233.255 NL  
2.22.246.0 2.22.247.255 GB  
2.22.252.0 2.22.253.255 GB  
2.22.254.0 2.22.255.255 FR  
2.23.112.0 2.23.127.255 GR  
2.24.0.0 2.31.255.255 GB  
2.32.0.0 2.47.255.255 IT  
2.48.0.0 2.51.255.255 AE  
2.52.0.0 2.55.255.255 IL  
2.60.0.0 2.63.255.255 RU  
2.64.0.0 2.71.255.255 SE  
2.72.0.0 2.79.255.255 KZ  
2.80.0.0 2.83.255.255 PT  
2.84.0.0 2.87.255.255 GR  
2.88.0.0 2.91.255.255 SA  
2.92.0.0 2.95.255.255 RU  
2.96.0.0 2.103.255.255 GB  
2.104.0.0 2.111.255.255 DK  
2.112.0.0 2.119.255.255 IT  
2.120.0.0 2.127.255.255 GB  
2.128.0.0 2.131.255.255 DK  
2.132.0.0 2.135.255.255 KZ  
2.136.0.0 2.143.255.255 ES  
2.144.0.0 2.147.255.255 IR  
2.148.0.0 2.151.255.255 NO  
2.152.0.0 2.155.255.255 ES  
2.156.0.0 2.159.255.255 IT  
2.160.0.0 2.175.255.255 DE  
2.176.0.0 2.191.255.255 IR  
2.192.0.0 2.199.255.255 IT  
2.200.0.0 2.215.255.255 DE  
2.216.0.0 2.223.255.255 GB  
2.224.0.0 2.239.255.255 IT  
2.240.0.0 2.247.255.255 DE  
2.248.0.0 2.255.255.255 SE  
