200.0.0.0 200.0.0.0 JP  
200.0.0.1 200.0.7.255 CO  
200.0.8.0 200.0.15.255 BR  
200.0.16.0 200.0.16.255 CU  
200.0.17.0 200.0.17.255 AR  
200.0.18.0 200.0.18.255 HT  
200.0.19.0 200.0.19.255 AR  
200.0.20.0 200.0.21.255 CW  
200.0.22.0 200.0.23.255 SX  
200.0.24.0 200.0.27.255 CU  
200.0.28.0 200.0.31.255 EC  
200.0.32.0 200.0.62.255 BR  
200.0.63.0 200.0.63.255 EC  
200.0.64.0 200.0.64.255 PA  
200.0.65.0 200.0.65.255 VE  
200.0.66.0 200.0.66.255 CL  
200.0.67.0 200.0.67.255 BR  
200.0.68.0 200.0.68.255 UY  
200.0.69.0 200.0.72.255 BR  
200.0.73.0 200.0.78.255 EC  
200.0.79.0 200.0.80.255 AR  
200.0.81.0 200.0.81.255 BR  
200.0.82.0 200.0.82.255 CL  
200.0.83.0 200.0.84.255 MX  
200.0.85.0 200.0.87.255 BR  
200.0.88.0 200.0.88.255 UY  
200.0.89.0 200.0.89.255 BR  
200.0.90.0 200.0.91.255 MX  
200.0.92.0 200.0.92.255 BR  
200.0.93.0 200.0.93.255 MX  
200.0.94.0 200.0.94.255 US  
200.0.95.0 200.0.95.255 MX  
200.0.96.0 200.0.99.255 AR  
200.0.100.0 200.0.102.255 BR  
200.0.103.0 200.0.106.255 MX  
200.0.107.0 200.0.107.255 PE  
200.0.108.0 200.0.108.255 CL  
200.0.109.0 200.0.109.255 MX  
200.0.110.0 200.0.110.255 PE  
200.0.111.0 200.0.113.255 MX  
200.0.114.0 200.0.114.255 BR  
200.0.115.0 200.0.117.255 CL  
200.0.118.0 200.0.119.255 PE  
200.0.120.0 200.0.124.255 CL  
200.0.125.0 200.0.133.255 MX  
200.0.134.0 200.0.135.255 BR  
200.0.136.0 200.0.136.255 PE  
200.0.137.0 200.0.138.255 US  
200.0.139.0 200.0.139.255 VE  
200.0.140.0 200.0.141.255 CL  
200.0.142.0 200.0.142.255 PE  
200.0.143.0 200.0.143.255 MX  
200.0.144.0 200.0.163.255 CL  
200.0.164.0 200.0.173.255 PE  
200.0.174.0 200.0.174.255 CL  
200.0.175.0 200.0.175.255 AR  
200.0.176.0 200.0.177.255 GT  
200.0.178.0 200.0.178.255 PA  
200.0.179.0 200.0.179.255 CR  
200.0.180.0 200.0.180.255 SV  
200.0.181.0 200.0.186.255 AR  
200.0.187.0 200.0.187.255 CO  
200.0.188.0 200.0.200.255 AR  
200.0.201.0 200.0.201.255 CO  
200.0.202.0 200.0.203.255 PA  
200.0.204.0 200.0.207.255 UY  
200.0.208.0 200.0.215.255 AR  
200.0.216.0 200.0.223.255 US  
200.0.224.0 200.0.255.255 AR  
200.1.0.0 200.1.5.255 VE  
200.1.6.0 200.1.6.255 EC  
200.1.7.0 200.1.7.255 AR  
200.1.8.0 200.1.15.255 VE  
200.1.16.0 200.1.31.255 CL  
200.1.32.0 200.1.63.255 AR  
200.1.64.0 200.1.103.255 CO  
200.1.104.0 200.1.111.255 TT  
200.1.112.0 200.1.112.255 BR  
200.1.113.0 200.1.113.255 AR  
200.1.115.0 200.1.115.255 CL  
200.1.116.0 200.1.118.255 AR  
200.1.119.0 200.1.119.255 VE  
200.1.120.0 200.1.123.255 CL  
200.1.124.0 200.1.124.255 CO  
200.1.125.0 200.1.125.255 BZ  
200.1.126.0 200.1.127.255 CO  
200.1.128.0 200.1.143.255 CL  
200.1.144.0 200.1.151.255 VE  
200.1.152.0 200.1.152.255 NI  
200.1.153.0 200.1.153.255 GT  
200.1.154.0 200.1.155.255 DO  
200.1.156.0 200.1.159.255 SR  
200.1.160.0 200.1.160.255 BM  
200.1.161.0 200.1.161.255 EC  
200.1.162.0 200.1.171.255 VE  
200.1.172.0 200.1.172.255 EC  
200.1.173.0 200.1.173.255 CO  
200.1.174.0 200.1.174.255 CL  
200.1.175.0 200.1.175.255 CO  
200.1.176.0 200.1.183.255 PE  
200.1.184.0 200.1.191.255 VE  
200.1.192.0 200.1.199.255 CO  
200.1.200.0 200.1.207.255 PY  
200.1.208.0 200.1.215.255 SR  
200.1.216.0 200.1.223.255 BR  
200.1.224.0 200.1.255.255 AR  
200.2.0.0 200.2.7.255 CL  
200.2.8.0 200.2.15.255 VE  
200.2.16.0 200.2.31.255 CL  
200.2.32.0 200.2.63.255 UY  
200.2.64.0 200.2.71.255 CO  
200.2.72.0 200.2.99.255 CL  
200.2.100.0 200.2.103.255 BR  
200.2.104.0 200.2.119.255 CL  
200.2.120.0 200.2.127.255 AR  
200.2.128.0 200.2.159.255 HT  
200.2.160.0 200.2.191.255 SR  
200.2.192.0 200.2.255.255 CL  
200.3.0.0 200.3.9.255 VE  
200.3.10.0 200.3.11.255 PA  
200.3.12.0 200.3.15.255 UY  
200.3.16.0 200.3.31.255 BR  
200.3.32.0 200.3.113.255 AR  
200.3.114.0 200.3.114.255 PE  
200.3.115.0 200.3.127.255 AR  
200.3.128.0 200.3.145.255 CO  
200.3.146.0 200.3.146.255 GT  
200.3.147.0 200.3.167.255 CO  
200.3.168.0 200.3.175.255 AR  
200.3.176.0 200.3.183.255 TT  
200.3.184.0 200.3.191.255 AR  
200.3.192.0 200.3.193.255 CO  
200.3.194.0 200.3.194.255 HN  
200.3.195.0 200.3.195.255 AR  
200.3.196.0 200.3.207.255 PA  
200.3.208.0 200.3.215.255 CL  
200.3.216.0 200.3.223.255 AR  
200.3.224.0 200.3.240.255 HN  
200.3.241.0 200.3.242.255 PE  
200.3.243.0 200.3.243.255 AR  
200.3.244.0 200.3.247.255 CO  
200.3.248.0 200.3.255.255 PY  
200.4.0.0 200.4.15.255 MX  
200.4.16.0 200.4.31.255 CO  
200.4.32.0 200.4.58.255 MX  
200.4.59.0 200.4.59.255 AR  
200.4.60.0 200.4.67.255 MX  
200.4.68.0 200.4.69.255 AR  
200.4.70.0 200.4.159.255 MX  
200.4.160.0 200.4.191.255 HT  
200.4.192.0 200.4.255.255 PE  
200.5.0.0 200.5.8.255 PR  
200.5.9.0 200.5.9.255 BR  
200.5.10.0 200.5.10.255 AR  
200.5.11.0 200.5.11.255 PR  
200.5.12.0 200.5.15.255 CU  
200.5.16.0 200.5.31.255 VE  
200.5.32.0 200.5.39.255 BR  
200.5.40.0 200.5.47.255 VE  
200.5.48.0 200.5.55.255 AR  
200.5.56.0 200.5.63.255 CR  
200.5.64.0 200.5.127.255 AR  
200.5.128.0 200.5.191.255 VE  
200.5.192.0 200.5.255.255 AR  
200.6.0.0 200.6.17.255 EC  
200.6.18.0 200.6.18.255 CL  
200.6.19.0 200.6.26.255 EC  
200.6.27.0 200.6.27.255 VE  
200.6.28.0 200.6.32.255 EC  
200.6.33.0 200.6.33.255 CL  
200.6.34.0 200.6.34.255 EC  
200.6.35.0 200.6.48.255 BR  
200.6.52.0 200.6.52.255 PA  
200.6.53.0 200.6.54.255 CL  
200.6.55.0 200.6.55.255 NI  
200.6.56.0 200.6.63.255 CW  
200.6.64.0 200.6.78.255 CL  
200.6.79.0 200.6.79.255 PA  
200.6.80.0 200.6.87.255 EC  
200.6.96.0 200.6.127.255 CL  
200.6.128.0 200.6.133.255 BR  
200.6.134.0 200.6.135.255 CR  
200.6.136.0 200.6.143.255 BR  
200.6.144.0 200.6.151.255 BQ  
200.6.152.0 200.6.159.255 MX  
200.6.160.0 200.6.191.255 CO  
200.6.192.0 200.6.255.255 GT  
200.7.0.0 200.7.3.255 BR  
200.7.4.0 200.7.7.255 CL  
200.7.8.0 200.7.13.255 BR  
200.7.14.0 200.7.14.255 PY  
200.7.15.0 200.7.15.255 AR  
200.7.16.0 200.7.31.255 CL  
200.7.32.0 200.7.63.255 SX  
200.7.64.0 200.7.83.255 EC  
200.7.84.0 200.7.87.255 UY  
200.7.88.0 200.7.95.255 TT  
200.7.96.0 200.7.97.255 NL  
200.7.98.0 200.7.101.255 US  
200.7.102.0 200.7.111.255 PA  
200.7.112.0 200.7.127.255 BR  
200.7.128.0 200.7.147.255 AR  
200.7.148.0 200.7.151.255 SR  
200.7.152.0 200.7.159.255 AR  
200.7.160.0 200.7.175.255 BO  
200.7.176.0 200.7.183.255 AR  
200.7.184.0 200.7.191.255 CW  
200.7.192.0 200.7.255.255 EC  
200.8.0.0 200.8.255.255 VE  
200.9.0.0 200.9.2.255 BR  
200.9.3.0 200.9.3.255 CL  
200.9.4.0 200.9.7.255 PY  
200.9.8.0 200.9.15.255 MX  
200.9.16.0 200.9.31.255 CO  
