208.0.96.0 208.0.103.255 BB  
208.0.104.0 208.0.221.255 US  
208.0.222.0 208.0.222.255 PR  
208.0.223.0 208.0.223.255 US  
208.0.224.0 208.0.224.255 DM  
208.0.225.0 208.0.226.255 LC  
208.0.227.0 208.0.228.255 AG  
208.0.229.0 208.0.229.255 VG  
208.0.230.0 208.0.230.255 DM  
208.0.231.0 208.0.231.255 LC  
208.0.232.0 208.1.47.255 US  
208.1.48.0 208.1.55.255 PH  
208.1.56.0 208.1.104.63 US  
208.1.104.64 208.1.104.79 PR  
208.1.104.80 208.1.189.255 US  
208.1.190.0 208.1.190.255 BO  
208.1.191.0 208.4.179.255 US  
208.4.180.0 208.4.181.255 PR  
208.4.182.0 208.8.169.255 US  
208.8.170.0 208.8.171.255 CO  
208.8.172.0 208.9.47.255 US  
208.9.48.0 208.9.55.255 CO  
208.9.56.0 208.9.56.255 EC  
208.9.57.0 208.9.63.255 CO  
208.9.64.0 208.12.159.255 US  
208.12.160.0 208.12.163.255 PR  
208.12.164.0 208.15.229.255 US  
208.15.230.0 208.15.230.255 AS  
208.15.231.0 208.15.232.255 US  
208.15.233.0 208.15.233.255 PR  
208.15.234.0 208.17.42.255 US  
208.17.43.0 208.17.43.255 PR  
208.17.44.0 208.18.150.255 US  
208.18.151.0 208.18.151.255 PR  
208.18.152.0 208.26.63.255 US  
208.26.64.0 208.26.95.255 BM  
208.26.96.0 208.27.181.255 US  
208.27.182.0 208.27.187.255 VI  
208.27.188.0 208.30.39.255 US  
208.30.40.0 208.30.41.255 CO  
208.30.42.0 208.30.95.255 US  
208.30.96.0 208.30.127.255 VI  
208.30.128.0 208.31.199.255 US  
208.31.200.0 208.31.207.255 CO  
208.31.208.0 208.34.212.23 US  
208.34.212.24 208.34.212.31 BR  
208.34.212.32 208.35.55.255 US  
208.35.56.0 208.35.59.255 PR  
208.35.60.0 208.37.255.255 US  
208.38.0.0 208.38.63.255 CA  
208.38.64.0 208.43.225.51 US  
208.43.225.53 208.45.233.255 US  
208.45.234.0 208.45.239.255 PA  
208.45.240.0 208.48.1.243 US  
208.48.1.244 208.48.1.247 SE  
208.48.1.248 208.48.23.215 US  
208.48.23.216 208.48.23.219 JP  
208.48.23.220 208.48.152.255 US  
208.48.153.0 208.48.153.255 FR  
208.48.154.0 208.48.226.255 US  
208.48.227.0 208.48.227.255 CA  
208.48.228.0 208.48.228.255 US  
208.48.229.0 208.48.229.255 GB  
208.48.230.0 208.48.236.255 US  
208.48.237.0 208.48.237.255 GB  
208.48.238.0 208.49.22.130 US  
208.49.22.131 208.49.22.131 CA  
208.49.22.132 208.49.84.255 US  
208.49.85.0 208.49.85.17 GB  
208.49.85.18 208.49.85.19 US  
208.49.85.20 208.49.85.33 GB  
208.49.85.34 208.49.85.34 US  
208.49.85.35 208.49.85.255 GB  
208.49.86.0 208.49.96.255 US  
208.49.97.0 208.49.97.255 GB  
208.49.98.0 208.49.133.255 US  
208.49.135.0 208.49.155.255 US  
208.49.156.0 208.49.156.255 GB  
208.49.157.0 208.49.193.255 US  
