24.0.0.0 24.0.0.0 EC  
24.0.0.1 24.35.255.255 US  
24.36.0.0 24.37.255.255 CA  
24.38.0.0 24.38.143.255 US  
24.38.144.0 24.38.159.255 CA  
24.38.160.0 24.41.95.255 US  
24.41.96.0 24.41.127.255 CA  
24.41.128.0 24.42.63.255 PR  
24.42.64.0 24.47.255.255 US  
24.48.0.0 24.48.127.255 CA  
24.48.128.0 24.48.175.255 US  
24.48.176.0 24.48.191.255 CA  
24.48.192.0 24.48.255.255 PR  
24.49.0.0 24.49.223.255 US  
24.49.224.0 24.49.255.255 CA  
24.50.0.0 24.50.31.255 US  
24.50.32.0 24.50.127.255 CA  
24.50.128.0 24.50.159.255 US  
24.50.160.0 24.50.191.255 CA  
24.50.192.0 24.50.255.255 PR  
24.51.0.0 24.51.31.255 CA  
24.51.32.0 24.51.63.255 US  
24.51.64.0 24.51.127.255 BS  
24.51.128.0 24.51.223.255 US  
24.51.224.0 24.51.255.255 CA  
24.52.0.0 24.52.191.255 US  
24.52.192.0 24.53.63.255 CA  
24.53.64.0 24.53.79.255 US  
24.53.80.0 24.53.127.255 CA  
24.53.128.0 24.53.191.255 US  
24.53.192.0 24.54.95.255 CA  
24.54.96.0 24.54.191.255 US  
24.54.192.0 24.54.255.255 PR  
24.55.0.0 24.55.63.255 US  
24.55.64.0 24.55.119.255 PR  
24.55.120.0 24.55.120.255 US  
24.55.121.0 24.55.122.63 PR  
24.55.122.64 24.55.122.255 US  
24.55.123.0 24.55.123.63 PR  
24.55.123.64 24.55.123.127 US  
24.55.123.128 24.55.127.255 PR  
24.55.128.0 24.55.159.255 US  
24.55.160.0 24.55.191.255 PR  
24.55.192.0 24.55.255.255 CA  
24.56.0.0 24.56.255.255 US  
24.57.0.0 24.57.255.255 CA  
24.58.0.0 24.61.128.255 US  
24.61.129.0 24.61.129.255 CA  
24.61.130.0 24.63.222.255 US  
24.63.223.0 24.63.223.255 CA  
24.63.224.0 24.63.255.255 US  
24.64.0.0 24.72.143.255 CA  
24.72.144.0 24.75.175.255 US  
24.75.176.0 24.75.191.255 CA  
24.75.192.0 24.75.255.255 US  
24.76.0.0 24.87.255.255 CA  
24.88.0.0 24.89.63.255 US  
24.89.64.0 24.89.127.255 CA  
24.89.128.0 24.89.191.255 US  
24.89.192.0 24.89.255.255 CA  
24.90.0.0 24.92.143.255 US  
24.92.144.0 24.92.159.255 LC  
24.92.160.0 24.100.191.255 US  
24.100.192.0 24.100.255.255 CA  
24.101.0.0 24.101.255.255 US  
24.102.0.0 24.102.63.255 CA  
24.102.64.0 24.104.159.255 US  
24.104.160.0 24.104.191.255 CA  
24.104.192.0 24.105.63.255 US  
24.105.64.0 24.105.127.255 CA  
24.105.128.0 24.107.255.255 US  
24.108.0.0 24.109.255.255 CA  
24.110.0.0 24.113.255.255 US  
24.114.0.0 24.114.255.255 CA  
24.115.0.0 24.121.255.255 US  
24.122.0.0 24.122.255.255 CA  
24.123.0.0 24.129.191.255 US  
24.129.192.0 24.129.207.255 CA  
24.129.208.0 24.129.223.255 US  
24.129.224.0 24.129.239.255 CA  
24.129.240.0 24.131.255.255 US  
24.132.0.0 24.132.255.255 NL  
24.133.0.0 24.133.255.255 TR  
24.134.0.0 24.134.255.255 DE  
24.135.0.0 24.135.255.255 RS  
24.136.0.0 24.137.31.255 US  
24.137.32.0 24.137.127.255 CA  
24.137.128.0 24.137.191.255 US  
24.137.192.0 24.137.223.255 CA  
24.137.224.0 24.137.255.255 PR  
24.138.0.0 24.138.191.255 CA  
24.138.192.0 24.138.255.255 PR  
24.139.0.0 24.139.31.255 CA  
24.139.32.0 24.139.63.255 US  
24.139.64.0 24.139.255.255 PR  
24.140.0.0 24.140.223.255 US  
24.140.224.0 24.142.63.255 CA  
24.142.64.0 24.142.79.255 US  
24.142.80.0 24.142.95.255 CA  
24.142.96.0 24.142.114.255 US  
24.142.116.0 24.142.116.255 GB  
24.142.117.0 24.143.127.255 US  
24.143.128.0 24.143.191.255 CA  
24.143.192.0 24.145.255.255 US  
24.146.0.0 24.146.127.255 CA  
24.146.128.0 24.149.255.255 US  
24.150.0.0 24.150.255.255 CA  
24.151.0.0 24.151.255.255 US  
24.152.128.0 24.152.255.255 US  
24.153.0.0 24.153.31.255 CA  
24.153.32.0 24.153.95.255 US  
24.153.96.0 24.153.111.255 CA  
24.153.112.0 24.156.127.255 US  
24.156.128.0 24.156.255.255 CA  
24.157.0.0 24.157.15.255 US  
24.157.16.0 24.157.24.63 PR  
24.157.24.64 24.157.24.255 US  
24.157.25.0 24.157.31.255 PR  
24.157.32.0 24.157.63.255 US  
24.157.64.0 24.157.255.255 CA  
24.158.0.0 24.171.191.255 US  
24.171.192.0 24.171.255.255 PR  
24.172.0.0 24.180.207.127 US  
24.180.207.128 24.180.207.255 CA  
24.180.208.0 24.180.209.127 US  
24.180.209.128 24.180.209.255 CA  
24.180.210.0 24.199.255.255 US  
24.200.0.0 24.203.255.255 CA  
24.204.0.0 24.204.143.255 US  
24.204.144.0 24.204.255.255 CA  
24.205.0.0 24.205.255.255 US  
24.206.0.0 24.206.31.255 BS  
24.206.32.0 24.206.255.255 US  
24.207.0.0 24.207.127.255 CA  
24.207.128.0 24.211.255.255 US  
24.212.0.0 24.212.255.255 CA  
24.213.0.0 24.213.63.255 US  
24.213.64.0 24.213.95.255 CA  
24.213.96.0 24.214.255.255 US  
24.215.0.0 24.215.127.255 CA  
24.215.128.0 24.221.255.255 US  
24.222.0.0 24.222.255.255 CA  
24.223.0.0 24.224.127.255 US  
24.224.128.0 24.224.255.255 CA  
24.225.0.0 24.225.127.255 US  
24.225.128.0 24.226.255.255 CA  
24.227.0.0 24.227.31.255 PR  
24.227.32.0 24.229.255.255 US  
24.230.0.0 24.230.31.255 HK  
24.230.32.0 24.230.191.255 US  
24.230.192.0 24.231.15.255 CA  
24.231.16.0 24.231.31.255 US  
24.231.32.0 24.231.63.255 BS  
24.231.64.0 24.231.95.255 CA  
24.231.112.0 24.231.255.255 US  
24.232.0.0 24.232.255.255 AR  
24.233.0.0 24.235.23.255 US  
24.235.24.0 24.235.31.255 HK  
24.235.32.0 24.235.63.255 CA  
24.235.64.0 24.235.95.255 US  
24.235.96.0 24.235.255.255 CA  
24.236.0.0 24.238.255.255 US  
24.239.0.0 24.239.15.255 CA  
24.239.16.0 24.243.255.255 US  
24.244.0.0 24.244.95.255 CA  
24.244.96.0 24.244.111.255 US  
24.244.112.0 24.244.127.255 CA  
24.244.128.0 24.244.191.255 BS  
24.244.192.0 24.244.255.255 CA  
24.245.0.0 24.245.223.255 US  
24.245.224.0 24.245.239.255 CA  
24.245.240.0 24.245.255.255 US  
24.246.0.0 24.246.95.255 CA  
24.246.96.0 24.249.249.127 US  
24.249.249.128 24.249.249.255 VI  
24.249.250.0 24.255.255.255 US  
