5.0.0.1 5.0.255.255 SY  
5.1.0.0 5.1.31.255 UA  
5.1.32.0 5.1.39.255 ES  
5.1.40.0 5.1.47.255 CY  
5.1.48.0 5.1.55.255 RU  
5.1.56.0 5.1.63.255 CZ  
5.1.64.0 5.1.67.255 DE  
5.1.68.0 5.1.69.255 GB  
5.1.70.0 5.1.82.255 DE  
5.1.83.0 5.1.83.255 GB  
5.1.84.0 5.1.87.255 DE  
5.1.88.0 5.1.88.255 GB  
5.1.89.0 5.1.95.255 DE  
5.1.96.0 5.1.103.255 CH  
5.1.104.0 5.1.111.255 IQ  
5.1.112.0 5.1.119.255 CH  
5.1.120.0 5.1.255.255 DE  
5.2.0.0 5.2.15.255 IT  
5.2.16.0 5.2.23.255 GB  
5.2.24.0 5.2.31.255 ES  
5.2.32.0 5.2.63.255 RU  
5.2.64.0 5.2.79.255 NL  
5.2.80.0 5.2.87.255 TR  
5.2.88.0 5.2.95.255 ES  
5.2.96.0 5.2.127.255 GB  
5.2.128.0 5.2.255.255 RO  
5.3.0.0 5.3.255.255 RU  
5.4.0.0 5.7.255.255 DE  
5.8.0.0 5.8.31.255 RU  
5.8.32.0 5.8.32.255 UA  
5.8.33.0 5.8.33.255 RU  
5.8.34.0 5.8.34.255 UA  
5.8.35.0 5.8.35.255 BZ  
5.8.36.0 5.8.39.255 RU  
5.8.40.0 5.8.43.255 NL  
5.8.44.0 5.8.44.127 MX  
5.8.44.128 5.8.44.255 PA  
5.8.45.0 5.8.45.127 BR  
5.8.45.128 5.8.45.255 CL  
5.8.46.0 5.8.46.127 AR  
5.8.46.128 5.8.46.255 CO  
5.8.47.0 5.8.47.127 PL  
5.8.47.128 5.8.47.255 IT  
5.8.48.0 5.8.95.255 RU  
5.8.96.0 5.8.127.255 IT  
5.8.128.0 5.8.159.255 LB  
5.8.160.0 5.8.183.255 RU  
5.8.184.0 5.8.191.255 ES  
5.8.192.0 5.8.239.255 RU  
5.8.240.0 5.8.247.255 IQ  
5.9.0.0 5.9.88.249 DE  
5.9.88.250 5.9.88.250 NL  
5.9.88.251 5.9.164.109 DE  
5.9.164.110 5.9.164.110 NL  
5.9.164.111 5.10.15.255 DE  
5.10.16.0 5.10.31.255 GB  
5.10.32.0 5.10.39.255 GE  
5.10.40.0 5.10.63.255 DE  
5.10.64.0 5.10.95.255 NL  
5.10.96.0 5.10.127.255 GB  
5.10.128.0 5.10.135.255 FR  
5.10.136.0 5.10.159.255 GB  
5.10.160.0 5.10.191.255 DE  
5.10.192.0 5.10.199.255 BR  
5.10.200.0 5.10.207.255 ES  
5.10.208.0 5.10.223.255 DE  
