64.4.18.64 64.4.18.127 SG  
64.4.18.128 64.4.33.255 US  
64.4.34.0 64.4.35.255 FI  
64.4.36.0 64.4.63.255 US  
64.4.64.0 64.4.95.255 CA  
64.4.96.0 64.5.191.255 US  
64.5.192.0 64.5.200.255 CA  
64.5.201.0 64.5.201.255 US  
64.5.202.0 64.5.216.255 CA  
64.5.217.0 64.5.217.255 US  
64.5.218.0 64.5.223.255 CA  
64.5.224.0 64.5.225.255 US  
64.5.226.0 64.5.239.255 CA  
64.5.240.0 64.5.240.255 US  
64.5.241.0 64.5.255.255 CA  
64.6.0.0 64.6.191.255 US  
64.6.192.0 64.6.207.255 CA  
64.6.208.0 64.7.127.255 US  
64.7.128.0 64.7.159.255 CA  
64.7.160.0 64.10.0.255 US  
64.10.1.0 64.10.6.255 CA  
64.10.7.0 64.10.7.255 US  
64.10.8.0 64.10.36.255 CA  
64.10.37.0 64.10.38.255 US  
64.10.39.0 64.10.42.255 CA  
64.10.43.0 64.10.43.255 US  
64.10.44.0 64.10.47.255 CA  
64.10.48.0 64.10.48.255 US  
64.10.49.0 64.10.51.255 CA  
64.10.52.0 64.10.53.255 US  
64.10.54.0 64.10.63.255 CA  
64.10.64.0 64.10.64.255 US  
64.10.65.0 64.10.78.255 CA  
64.10.79.0 64.10.82.255 US  
64.10.83.0 64.10.88.255 CA  
64.10.89.0 64.10.89.255 US  
64.10.90.0 64.10.93.255 CA  
64.10.94.0 64.10.94.255 US  
64.10.95.0 64.10.114.255 CA  
64.10.115.0 64.10.116.255 US  
64.10.117.0 64.10.122.255 CA  
64.10.123.0 64.10.123.255 US  
64.10.124.0 64.10.128.255 CA  
64.10.129.0 64.10.129.255 US  
64.10.130.0 64.10.141.255 CA  
64.10.142.0 64.10.142.255 US  
64.10.143.0 64.10.155.255 CA  
64.10.156.0 64.10.156.255 US  
64.10.157.0 64.10.162.255 CA  
64.10.163.0 64.10.163.255 US  
64.10.164.0 64.10.173.255 CA  
64.10.174.0 64.10.174.255 US  
64.10.175.0 64.10.182.255 CA  
64.10.183.0 64.10.183.255 US  
64.10.184.0 64.10.187.255 CA  
64.10.188.0 64.10.188.255 US  
64.10.189.0 64.10.190.255 CA  
64.10.191.0 64.10.191.255 US  
64.10.192.0 64.10.218.255 CA  
64.10.219.0 64.10.219.255 US  
64.10.220.0 64.10.225.255 CA  
64.10.226.0 64.10.226.255 US  
64.10.227.0 64.10.230.255 CA  
64.10.231.0 64.10.231.255 US  
64.10.232.0 64.10.241.255 CA  
64.10.242.0 64.10.242.255 US  
64.10.243.0 64.10.253.255 CA  
64.10.254.0 64.11.3.255 US  
64.11.4.0 64.11.10.255 CA  
64.11.11.0 64.11.11.255 US  
64.11.12.0 64.11.15.255 CA  
64.11.16.0 64.11.16.255 US  
64.11.17.0 64.11.27.255 CA  
64.11.28.0 64.11.28.255 US  
64.11.29.0 64.11.36.255 CA  
64.11.37.0 64.11.37.255 US  
64.11.38.0 64.11.46.255 CA  
