76.8.32.0 76.8.47.255 BM  
76.8.48.0 76.8.111.255 US  
76.8.112.0 76.8.127.255 CA  
76.8.128.0 76.8.255.255 US  
76.9.0.0 76.9.0.255 GB  
76.9.1.0 76.9.2.255 US  
76.9.3.0 76.9.3.255 GB  
76.9.4.0 76.9.26.255 US  
76.9.27.0 76.9.27.255 UA  
76.9.28.0 76.9.31.255 US  
76.9.32.0 76.9.63.255 CA  
76.9.64.0 76.9.191.255 US  
76.9.192.0 76.9.207.255 CA  
76.9.208.0 76.9.211.255 US  
76.9.212.0 76.9.217.255 CA  
76.9.218.0 76.9.219.255 US  
76.9.220.0 76.9.223.255 CA  
76.9.224.0 76.10.127.255 US  
76.10.128.0 76.10.191.255 CA  
76.10.192.0 76.10.255.255 US  
76.11.0.0 76.11.127.255 CA  
76.11.128.0 76.12.226.55 US  
76.12.226.56 76.12.226.79 CA  
76.12.226.80 76.16.168.255 US  
76.16.169.0 76.16.169.255 PR  
76.16.170.0 76.63.255.255 US  
76.64.0.0 76.65.0.255 CA  
76.65.1.0 76.65.1.255 US  
76.65.2.0 76.71.255.255 CA  
76.72.0.0 76.72.239.255 US  
76.72.240.0 76.72.255.255 PR  
76.73.0.0 76.74.127.255 US  
76.74.128.0 76.74.128.255 CA  
76.74.129.0 76.74.129.127 US  
76.74.129.128 76.74.132.255 CA  
76.74.133.0 76.74.133.255 US  
76.74.134.0 76.74.135.255 CA  
76.74.136.0 76.74.136.255 US  
76.74.137.0 76.74.138.255 CA  
76.74.139.0 76.74.139.95 US  
76.74.139.96 76.74.139.127 CA  
76.74.139.128 76.74.161.255 US  
76.74.162.0 76.74.162.255 CA  
76.74.163.0 76.74.165.159 US  
76.74.165.160 76.74.165.191 CA  
76.74.165.192 76.74.175.255 US  
76.74.176.0 76.74.176.255 IN  
76.74.177.0 76.74.183.255 US  
76.74.184.0 76.74.187.255 CA  
76.74.188.0 76.74.191.255 US  
76.74.192.0 76.74.192.255 CA  
76.74.193.0 76.74.195.127 US  
76.74.195.128 76.74.195.255 CA  
76.74.196.0 76.74.200.63 US  
76.74.200.64 76.74.200.127 CA  
76.74.200.128 76.74.201.127 US  
76.74.201.128 76.74.201.255 CA  
76.74.202.0 76.74.202.255 US  
76.74.203.0 76.74.203.255 CA  
76.74.204.0 76.74.204.255 US  
76.74.205.0 76.74.205.255 CA  
76.74.206.0 76.74.206.127 US  
76.74.206.128 76.74.206.255 CA  
76.74.207.0 76.74.208.255 US  
76.74.209.0 76.74.210.255 CA  
76.74.211.0 76.74.218.95 US  
76.74.218.96 76.74.218.127 IN  
76.74.218.128 76.74.223.255 US  
76.74.224.0 76.74.224.255 CA  
76.74.225.0 76.74.226.255 US  
76.74.227.0 76.74.229.255 CA  
76.74.230.0 76.74.230.255 US  
76.74.231.0 76.74.231.255 CA  
76.74.232.0 76.74.232.255 US  
76.74.233.0 76.74.233.255 CA  
76.74.234.0 76.74.240.255 US  
76.74.241.0 76.74.241.255 CA  
76.74.242.0 76.74.242.255 US  
76.74.243.0 76.74.247.255 CA  
76.74.248.0 76.75.63.255 US  
76.75.64.0 76.75.191.255 CA  
76.75.192.0 76.75.223.255 US  
76.75.224.0 76.75.255.255 CA  
76.76.0.0 76.76.95.255 US  
76.76.96.0 76.76.127.255 CA  
76.76.128.0 76.76.159.255 US  
76.76.160.0 76.76.163.255 AG  
76.76.164.0 76.76.167.255 VG  
76.76.168.0 76.76.171.255 KN  
76.76.172.0 76.76.175.255 VG  
76.76.176.0 76.76.179.255 AI  
76.76.180.0 76.76.180.255 KN  
76.76.181.0 76.76.187.255 AG  
76.76.188.0 76.76.189.255 LC  
76.76.190.0 76.76.191.255 AG  
76.76.192.0 76.76.207.255 PR  
76.76.208.0 76.77.47.255 US  
76.77.48.0 76.77.63.255 JP  
76.77.64.0 76.77.95.255 CA  
76.77.96.0 76.78.241.255 US  
76.78.242.0 76.78.242.0 CA  
76.78.242.1 76.255.255.255 US  
