97.68.74.0 97.68.74.255 PR  
97.68.75.0 97.74.255.255 US  
97.75.0.0 97.75.63.255 CA  
97.75.64.0 97.75.191.255 US  
97.75.192.0 97.75.223.255 CA  
97.75.224.0 97.85.64.127 US  
97.85.64.128 97.85.64.255 CA  
97.85.65.0 97.85.68.255 US  
97.85.69.0 97.85.69.127 CA  
97.85.69.128 97.85.75.127 US  
97.85.75.128 97.85.75.255 CA  
97.85.76.0 97.85.78.127 US  
97.85.78.128 97.85.78.255 CA  
97.85.79.0 97.107.47.255 US  
97.107.48.0 97.107.63.255 CA  
97.107.64.0 97.107.175.255 US  
97.107.176.0 97.107.191.255 CA  
97.107.192.0 97.107.207.255 US  
97.107.208.0 97.107.223.255 CA  
97.107.224.0 97.107.255.255 US  
97.108.0.0 97.111.255.255 CA  
